,companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary_raw,companyHQ,company_founded,company_industry,company_revenue,company_size,company_type,company_sector,requested_url,search_state,company_salary,job_seniority,job_title
0,Change Healthcare,3.5,"Director, AI Engineering (Artificial Intelligence)",AK,Employer est.:$123K - $329K ,"Nashville, TN",2007.0,Information Technology Support Services,Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=00000186891f5c2fac43d51fea73e56b&src=GD_JOB_AD&t=SR&vt=w&cs=1_10dee5b5&cb=1677337779578&jobListingId=1008461126850&jrtk=3-0-1gq4hun2m2ea6001-1gq4hun3hgrik800-7f20c04b5a6cf0e0-,AK,226.0,senior,machine_learning_engineer
1,Ryder System,3.7,Senior Data Analyst,AK,Employer est.:$70K - $95K ,"Medley, FL",1933.0,Shipping & Trucking,$5 to $10 billion (USD),Unknown,Company - Public,Transportation & Logistics,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=00000186891f5c2fac43d51fea73e56b&src=GD_JOB_AD&t=SR&vt=w&cs=1_52c02382&cb=1677337779578&jobListingId=1008431138647&jrtk=3-0-1gq4hun2m2ea6001-1gq4hun3hgrik800-9901b8eedde17cd4-,AK,82.5,senior,data_analytics
2,"IntelliGenesis, LLC",4.7,Digital Network Exploitation Analyst Level 2,AK,$57K - $84K (Glassdoor est.),"Columbia, MD",2007.0,Aerospace & Defense,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ec1401a&cb=1677338305374&jobListingId=1007730944839&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-fdb9068f6551ba6b-,AK,70.5,no prefix,other title
3,Change Healthcare,3.5,Senior Manager AI Engineering (Artificial Intelligence),AK,Employer est.:$105K - $280K ,"Nashville, TN",2007.0,Information Technology Support Services,Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_e536fb24&cb=1677338305373&jobListingId=1008461126825&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-fac9a84ce882e524-,AK,192.5,senior,machine_learning_engineer
4,"IntelliGenesis, LLC",4.7,Digital Network Exploitation Analyst Level 1,AK,$56K - $84K (Glassdoor est.),"Columbia, MD",2007.0,Aerospace & Defense,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_c73359b0&cb=1677338305374&jobListingId=1007730944782&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-520bacc6d8f28beb-,AK,70.0,no prefix,other title
5,Canonical - Jobs,3.4,Ubuntu Quality Engineering Manager,AK,$101K - $149K (Glassdoor est.),"London, United Kingdom",2004.0,Computer Hardware Development,$25 to $100 million (USD),501 to 1000 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_53cf3542&cb=1677338305374&jobListingId=1008268162580&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-f26daf70efa6aa93-,AK,125.0,senior,other title
6,US Department of Energy - Agency Wide,4.3,Statistician,AK,Employer est.:$69K - $184K ,"Washington, DC",1977.0,National Agencies,Unknown / Non-Applicable,10000+ Employees,Government,Government & Public Administration,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_776c3895&cb=1677338305373&jobListingId=1008409831829&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-81f2951dda411ebb-,AK,126.5,no prefix,other title
7,McLeod Software,4.0,Data Scientist,AL,$83K - $118K (Glassdoor est.),"Birmingham, AL",1985.0,Software Development,$25 to $100 million (USD),501 to 1000 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_66042ae5&cb=1677338485235&jobListingId=1008457931083&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-03939f2e6da3a94c-,AL,100.5,no prefix,data_science
8,Regions,3.5,Data Visualization Designer/Engineer (REMOTE OPPORTUNITY),AL,$51K - $74K (Glassdoor est.),"Birmingham, AL",1971.0,Banking & Lending,$5 to $10 billion (USD),10000+ Employees,Company - Public,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_ad5cdb46&cb=1677338485234&jobListingId=1008462266266&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-0bc74b2047afdf22-,AL,62.5,no prefix,other title
9,managementsolutions,3.8,DATA SCIENCE CONSULTANT BIRMINGHAM,AL,$67K - $104K (Glassdoor est.),"Madrid, Spain",2002.0,Business Consulting,$100 to $500 million (USD),1001 to 5000 Employees,Company - Private,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_4db29b06&cb=1677338485234&jobListingId=1005639393804&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-dd09a936fd1c85f7-,AL,85.5,no prefix,data_science
10,Diaconia LLC,3.0,Data Science Developer - On-Site Redstone Arsenal - Relocation Assistance Provided,AL,Employer est.:$60K - $75K ,"Recife, Brazil",,,Unknown / Non-Applicable,Unknown,Company - Private,,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_caf3db8d&cb=1677338485235&jobListingId=1008492578683&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-db847b8600ae2de0-,AL,67.5,no prefix,data_science
11,Auburn University,4.4,Assistant Professor - Statistics/Data Science,AL,$60K - $93K (Glassdoor est.),"Auburn University, AL",1885.0,Colleges & Universities,$500 million to $1 billion (USD),5001 to 10000 Employees,College / University,Education,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_b7373483&cb=1677338485235&jobListingId=1008234737793&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-809c9ef2e05f64a7-,AL,76.5,no prefix,professor
12,National Aeronautics and Space Administration (NASA),4.6,Data science opportunities with IMPACT,AL,$38K - $63K (Glassdoor est.),"Washington, DC",1958.0,National Agencies,$10+ billion (USD),10000+ Employees,Government,Government & Public Administration,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_2da581ed&cb=1677338485234&jobListingId=1008251077128&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-c23451ebd2e4ff26-,AL,50.5,no prefix,data_science
13,The University of Alabama,4.2,Assistant Research Professional - Research Software Engineer - Data Science,AL,$50K - $75K (Glassdoor est.),"Tuscaloosa, AL",,,$500 million to $1 billion (USD),1001 to 5000 Employees,College / University,,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_dcde263e&cb=1677338485234&jobListingId=1008398384975&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-d83dd039a891d4f7-,AL,62.5,no prefix,software_engineer
14,Peraton,3.6,ITASE Computer Scientist,AL,Employer est.:$115K ,"Herndon, VA",2017.0,Information Technology Support Services,$5 to $10 billion (USD),10000+ Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b8cc679&cb=1677338485232&jobListingId=1008451086712&cpc=D3E44275D43A938E&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-f9c5b9088fda15ce--6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkWxr0AVXwWN3f-VtKNxxA1D5u7zUu_vaLpGjNy0NicFHFiOzINYbPQH49_979e1rQdYEx2KVsIL4SFwj0Y6XuBF936My2-QQjZcyfVEPOW9Z8xR_MAJwve3qKVnHJ3JnbygNQgwfDh1PSe2FP_H0tTxm8aj_5KtddMVJ536RYP7bs1od9jc4rwKSdhwNaI0Z0gB11kwhNt80qd7ejtBjH24Ym_KApccIFPShbhORvR_8MsI7HmWIVChP5unnIeW4tVExSHuVv-crNMp4CpXzUStFW0GeH5Hq9VbzgmiXRWyjDEE1exF5VSNBHdNSQGzbThq_Fht9njHisZiSvJL8D6uBS9u9A_4RxlJ8rN5vuxtBFC3Fe4QoM-bJGoI58MXKsd3Xo1LWK1R0tZ3xYhO0Or8NZsHrUN0-9qqMZjxYSY31H7o_l3y2-_mgeuQsb7Z8NTwSe6BbDmY-xtfhdefQrNOXKSKdGt25gtimW6MbO2c664onGhKqWDazm-mYypoZS2sV_8sOof5YQXQnlw5ikwHv9Gvy0XQ5DBZ1dBAsTZF6K70B9aC2C4DbAMuhglihPXJ-O2Aa3FpZkImVZAaLYm3L3pb9m4jBw6p5xFNcpd4JRtd9lFrVIGhGvs2PbvS14H4Fe5kumaf3IXEwSUbMwvcJ4awG8N1IQHL9fC6sXRp3n4rFTaN7IZv9NmEVzppj4flIMFv_oGYUFwxKjl0pToUsnABt30LFniyYfUixkL2kI2mPY4XBdCLMe4gc9FCN82r4MOkXv0u9rtpnrcXhI7WGFSmEtqlPrNz5Ld-SbzP4R_1if-PlR2g%3D%3D,AL,115.0,no prefix,other title
15,"Agile Defense, Inc.",4.6,Data Analyst,AL,$56K - $82K (Glassdoor est.),"Reston, VA",1998.0,Information Technology Support Services,$100 to $500 million (USD),501 to 1000 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_8ccdc563&cb=1677338485234&jobListingId=1008454666676&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-fa2d917b7bd26cae-,AL,69.0,no prefix,data_analytics
16,American Process Management,4.6,Data Engineer ÃÂ Reporting & Visualization,AL,$68K - $99K (Glassdoor est.),"Birmingham, AL",2016.0,,$1 to $5 million (USD),1 to 50 Employees,Company - Public,,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7f46f1c8&cb=1677338485233&jobListingId=1008477653187&cpc=4B86475FAF393599&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-0be2f79df71ef92f--6NYlbfkN0AtlW_omU2Xx3W-19HQ_drmTKCWebiHnmA5lS5PDL5G8TNpb90DgMjPQ3ZDFgN_e8Zp1s5zeLhpTELhXa2vzdiAAClCXxBK1zCftmpPlGeKf-ibG9JhqsgTwH3BbxUSJ6okSM6AQ3_TX2KWXVU3ATk708NzDwFmOeHWfJNtfymZsDacWtNhOCShlbLJRzVsaapA_Jmeyo3iP0pGSqL0Z52LeUecxx386-41uZRGgG_HsjOV0xjpFsm6atXIRe-LwNYHHfGmQcJOXYHG7CU75YOC-d1bz9GHnkWFajPDF3hw7wlnRBB2K0dmPK5-1aqi64gBc5L_U9Zidq55uzzPdV5VaQXKZWTrx8voTvLlAZ-kynYNG8Vzr0NWGkr5nRBPBjlIYYZbeMfyIcFtHhZFIIVxV5NjHEH9OfNm-oj9p3sfZ4ArcrxhZhmSbc5_hn5KnwNGqsTerfGDrVk6_mFgpcmGqNwcgAeCRkbXiN7Z0H4G7_8h1kZkECtugqN1lgphxmnohClrigEjxpA2l4YtgwxRb6Ow4Hm72smBUmvREd3BbThYZR2IoRGamhWiJKk4NwWuRJSJU58YzZ35lesD4gF1JTYizGauC-8%3D,AL,83.5,no prefix,data_engineer
17,Booz Allen Hamilton,4.2,"Data Scientist, Senior",AL,Employer est.:$93K - $212K ,"McLean, VA",1914.0,Business Consulting,$5 to $10 billion (USD),10000+ Employees,Company - Public,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_ac55e2b9&cb=1677338485232&jobListingId=1008472256122&cpc=A0032DE20586B9BD&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-d9f32f76ca0933fb--6NYlbfkN0CaLaeO0W0aSDE10oNno4SsRl14ssiVXEJb5QYZji-zamyK2TbRIQYH1pFnC8Aoi6fsmWqLhdkXd71jckbTHLL_0o0lZZ4_bmsvw-6E0EFeLZmOQJpNF7ceFRNtPr0GPNF10f3BEwRWE0-ywWEkgaoNGgRoNaNntwdZAfHRndzhGLcUtKNgzbT1xnf6vKIOIO5H6FuCY0vYr-yJwIG_1lCqUDgE4oM2PDITsjMdjhGRYPpTZN2LcOco6T0_lF1tB0zWpSJN9-lizGD2DQzHxmDRlvjdTJ4fzgbIAhTGOWn5cdp86o7zuubxou5guIDdHNbg-5VZdMe8_oXF4XRu15t5AHnPCTxZ0anCIHZMfh5HHUKbiIwq2BOhwgK-Fm29jJw9BX9DviPJpzFLecW_k85UOYmW2-xmy_7YUuwQ4vNlDxEM27R7s4MJwRvDpD9nIrVTDVqpl2oIw-buz1UOErJEmedXOLH34hRbpHCkeuEWIF60_WCmws7vWwjZnaGtf4ha8fwB1cSnZZB80GYEdVyNgvHwGPtQNy9QE_cf7IMR4BqzTJs3L3nThbuuF2c9tL1McV3gHUBTfG31np-2jMPxI-_Dc_wdjHzwvg1jZRtZ_miEzE01eJ0Kx4yDx-GPAO7k3yG49NODRg%3D%3D,AL,152.5,senior,data_science
18,Inflow-ns,4.6,Data Science Developer (Top Secret Clearance),AL,$71K - $112K (Glassdoor est.),"San Antonio, TX",,Aerospace & Defense,Unknown / Non-Applicable,1 to 50 Employees,Self-employed,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d4ca86ce&cb=1677338485235&jobListingId=1008488925546&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-8a6e74751cef07f3-,AL,91.5,no prefix,data_science
19,Motion Industries,3.7,Data Scientist,AL,$80K - $120K (Glassdoor est.),"Birmingham, AL",1976.0,Machinery Manufacturing,Unknown / Non-Applicable,5001 to 10000 Employees,Subsidiary or Business Segment,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_b9ae035f&cb=1677338485234&jobListingId=1008489941216&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-64096f239c97d27a-,AL,100.0,no prefix,data_science
20,Deloitte,4.1,Data Scientist,AL,$83K - $126K (Glassdoor est.),"New York, NY",1850.0,Accounting & Tax,$10+ billion (USD),10000+ Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_69ffb0d0&cb=1677338485234&jobListingId=1008475676496&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-ee835fa07a2fe53c-,AL,104.5,no prefix,data_science
21,Peraton,3.6,ITASE Data Scientist,AL,Employer est.:$115K ,"Herndon, VA",2017.0,Information Technology Support Services,$5 to $10 billion (USD),10000+ Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_7a3f833a&cb=1677338485232&jobListingId=1008483028377&cpc=6BF42D0955AE9A34&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-c581ec6b6f006239--6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkWxr0AVXwWN0K732DO7esoVfiPnH3gr5KlbT6gmmWK2j_4y6ncmSJA1I9JoPkQsBtWQwNBgb9qxWcVJByGZtJvxgeVp8k_dNYVHfalIegdxt0o6cBOJtdD-qvXurz3Wkw-0kaPFs2U8uI-bV525mbyWS8gzkL2fyV1rUm9_DQNxTIeiMO-9OKsvT7GApXJqjjBQqsQOpg9UihCaDBSPUxJ4vwYC7h0q6MzRqYOaf9xDFxS7TAuRX8jhshV9QuNvPYGrmBpakfvbXURApvDwNK2tIeOP2pOrpZNzur7vF98QPVXubjjw4rZA707_8xQVEDLIqP31yxUm2LbeBPVcgnaYyL4GkYiz8qlPwR4QZNmXRYhHbGHzh0jjGNMmFZkFKj0yxRqOUQotnsnX5KZHjBXPofxVIjzGLouFJID97e7YbLGQ7hPrO0cpasbDRHKbrlxtZf1fD4lMeE5ZBDTsliIFPKphgyJ2dtyPHxa0vZcT0Vvznpepq5VVO-jBTnpqx26COLvyyYktpYfi1xyXqBXcapjLYMR0ZnACwLqmGJTtVHJzcDA63k532kTlJrhcA7qZ6QjY8i38J6eDAV0qh2D724DMw6448Xeso3nrQBoRbILSOk_aHvtkqlyK-u53Bkym_tTzPax_rch7jgf0u-hVKVSpJ-4o3bdQMGjlmUJ_EJT9GdliicaAO9I84Fp2BwoX7LNGX8j-D8rPiYQWCvd5PKHpa0vDq_RlLZYQtllWdYCld0LX2q5G0YKLDn0ZpuyclkOl4BgGwRinDEizSS8GMn3dFy3RExNMIJrVILBak_yRV7bFM3rA%3D%3D,AL,115.0,no prefix,data_science
22,Booz Allen Hamilton,4.2,Data Engineer,AL,Employer est.:$82K - $186K ,"McLean, VA",1914.0,Business Consulting,$5 to $10 billion (USD),10000+ Employees,Company - Public,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_4e8d246e&cb=1677338485232&jobListingId=1008065514668&cpc=ACAF1607C5C1E404&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-55cd6086793d88f4--6NYlbfkN0CaLaeO0W0aSDE10oNno4SsRl14ssiVXEJb5QYZji-zamyK2TbRIQYH1pFnC8Aoi6f-gFXxsjnO50qvF7tTAv2YuW-d2WBcm46s5XFp8IFKt0-qcRyYAz6LlwyfMsOuV2CQwhpDdpmfRDiOs08hNjSc4proyjnwBR0OcADe3tgypQob5hH8cAcOSvmbE1_VD3yR7T2TQccTXpC3d8AhZaGmX09XJLD4vcBqy22j2l5PybEK2lKlGWEmPPsPTjC94vb05AWkFIXrAQLuCOGralgNFKHXEXEt-_zu-f-ID1pZ1hv1JKJD1D3v1_r9EUvAgrJJ-eU5IiVdaW8c0zHUzX5KPorHZuAoYn6YxjUMp28q0aFj6uSapNWAUv8AoIhjqyo7_Tr1VKO6aGZ3LLI3kP5c-RidRwmnTkLqGf9_WSpI-WD_rkWtdTtgEhWjmsCyv8KQSoEKkbnLpZMYh8UgSceM2Chm0mWZ9To9yeNp3eX9ZtEtmrCZz2p6VUOxXDtwkvUiInu3l1Ya0g1zWyiSJ5q-S0rY3w_6H8Zut1VRh56-HXg9PKO5HOtxzF0BOeAoay0LwTNyu7k9nzQDZ7cNM1LqqafxeB-w_9zFAyOLzga6fHI8FkmQNG8yTw5B25Qk10U%3D,AL,134.0,no prefix,data_engineer
23,UAB Medicine,3.9,Clinical AI Specialist III - Enterprise,AL,Employer est.:$94K - $153K ,"Birmingham, AL",1945.0,Health Care Services & Hospitals,Unknown / Non-Applicable,10000+ Employees,Hospital,Healthcare,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_afdc43bf&cb=1677339028721&jobListingId=1008476551084&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-c63df11d65827479-,AL,123.5,no prefix,machine_learning_engineer
24,"PeopleTec, Inc.",4.9,Data Scientist / Developer (Jr. / Mid - level),AL,$73K - $107K (Glassdoor est.),"Huntsville, AL",2005.0,Aerospace & Defense,$25 to $100 million (USD),201 to 500 Employees,Company - Private,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_d7467432&cb=1677339028721&jobListingId=1008330274917&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-eb492d28c1e6d1e6-,AL,90.0,junior,data_science
25,The University of Alabama,4.2,Asst Research Professional - Remote Sensing Analyst,AL,$52K - $77K (Glassdoor est.),"Tuscaloosa, AL",,,$500 million to $1 billion (USD),1001 to 5000 Employees,College / University,,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_ab62380a&cb=1677339028720&jobListingId=1008250386772&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-cfd3e6c435b14690-,AL,64.5,no prefix,other title
26,Resolution LLC,,Data Analyst - Engineer,AL,Employer est.:$140K - $165K ,"Huntsville, AL",,,Unknown / Non-Applicable,Unknown,Company - Public,,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_605d70c7&cb=1677339028723&jobListingId=1008309014871&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-84ebd3719f854819-,AL,152.5,no prefix,data_analytics
27,"DESE Research, Inc.",4.6,"Data Analyst, Engineer",AL,$63K - $93K (Glassdoor est.),"Huntsville, AL",,Accounting & Tax,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a898fd63&cb=1677339028723&jobListingId=1007849263984&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-e87a15e59a6a3189-,AL,78.0,no prefix,data_analytics
28,Deloitte,4.1,"Manager, Confidentiality & Privacy - Technology and Data Risk Management - Risk & Brand Protection",AL,$94K - $132K (Glassdoor est.),"New York, NY",1850.0,Accounting & Tax,$10+ billion (USD),10000+ Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_71e94771&cb=1677339028723&jobListingId=1008466352723&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-b7ddbd73a8e59ebb-,AL,113.0,senior,other title
29,O'Neal Industries,4.6,Data & Business Intelligence Analyst,AL,$70K - $99K (Glassdoor est.),"Birmingham, AL",1921.0,Metal & Mineral Manufacturing,$100 to $500 million (USD),1 to 50 Employees,Company - Private,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c5a1564e&cb=1677339028720&jobListingId=1008359399993&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-0de893ce302295c3-,AL,84.5,no prefix,business_analytics
30,Southern Company,4.2,Data Analytics Manager,AL,$89K - $133K (Glassdoor est.),"Atlanta, GA",1945.0,Energy & Utilities,Unknown / Non-Applicable,10000+ Employees,Company - Public,"Energy, Mining & Utilities",https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_fe728999&cb=1677339028721&jobListingId=1008478030839&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-6e3f90f4500b2f7a-,AL,111.0,senior,data_analytics
31,Northrop Grumman,4.0,Sentinel Principal Data Scientist / Sr Principal Data Scientist,AL,Employer est.:$105K - $195K ,"Falls Church, VA",1939.0,Aerospace & Defense,$10+ billion (USD),10000+ Employees,Company - Public,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_254096dc&cb=1677339028722&jobListingId=1008302057848&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-ac3bf5f6fe634c93-,AL,150.0,senior,data_science
32,Fetch,3.8,"Data Scientist, Deep Learning",AL,$83K - $124K (Glassdoor est.),"Madison, WI",2013.0,Computer Hardware Development,Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_98df431b&cb=1677339028722&jobListingId=1008323597136&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-ba67e9533a597c32-,AL,103.5,no prefix,machine_learning_engineer
33,Quest Diagnostics,3.5,"Lead, Data Analyst (Remote Opportunity)",AL,$42K - $64K (Glassdoor est.),"Secaucus, NJ",1967.0,Health Care Services & Hospitals,$5 to $10 billion (USD),10000+ Employees,Company - Public,Healthcare,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_8b5631b9&cb=1677339028720&jobListingId=1008200269501&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-107e7bf313449cd5-,AL,53.0,senior,data_analytics
34,Ryder System,3.7,COOP - Senior Data Analyst,AL,Employer est.:$80K - $95K ,"Medley, FL",1933.0,Shipping & Trucking,$5 to $10 billion (USD),Unknown,Company - Public,Transportation & Logistics,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=0000018689326ba68151a43f888fde81&src=GD_JOB_AD&t=SR&vt=w&cs=1_b341baf8&cb=1677339028722&jobListingId=1008477404794&jrtk=3-0-1gq4j4quj2ff7001-1gq4j4qvb24hr000-06023e8b4431668b-,AL,87.5,senior,data_analytics
