,companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary_raw,companyHQ,company_founded,company_industry,company_revenue,company_size,company_type,company_sector,requested_url,search_state,company_salary,job_seniority,job_title
1961,CareFirst BlueCross BlueShield,3.4,Senior Data Analyst (Hybrid),MD,$92K - $126K (Glassdoor est.),"Owings Mills, MD",1942.0,Insurance Carriers,$100 to $500 million (USD),5001 to 10000 Employees,Company - Private,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=605&ao=1136043&s=58&guid=000001868b56dfab9d1a5eb8787c363c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ec00a1bc&cb=1677374972226&jobListingId=1008430715754&jrtk=3-0-1gq5ldnvgii2u801-1gq5ldo03is2h800-92691b226c3b12fe-,MD,109.0,senior,data_analytics
1962,The Prospective Group (TPG),2.9,Data Engineer,MD,$76K - $110K (Glassdoor est.),"Fairfax, VA",,National Agencies,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Government & Public Administration,https://www.glassdoor.com/partner/jobListing.htm?pos=607&ao=1136043&s=58&guid=000001868b56dfab9d1a5eb8787c363c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9a791b57&cb=1677374972226&jobListingId=1008474895886&jrtk=3-0-1gq5ldnvgii2u801-1gq5ldo03is2h800-69f7b75e80146d03-,MD,93.0,no prefix,data_engineer
1963,ProObject,4.1,Data Scientist,MD,Employer est.:$100K - $180K ,"Hanover, MD",1995.0,Computer Hardware Development,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=603&ao=1136043&s=58&guid=000001868b56dfab9d1a5eb8787c363c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f9b2db27&cb=1677374972225&jobListingId=1008286305594&jrtk=3-0-1gq5ldnvgii2u801-1gq5ldo03is2h800-2ff0f3d774a8ec58-,MD,140.0,no prefix,data_science
1964,"University of Maryland, Baltimore",3.7,Post-Doctoral Position in biomedical data mining,MD,$57K - $88K (Glassdoor est.),"Baltimore, MD",,Colleges & Universities,$100 to $500 million (USD),51 to 200 Employees,College / University,Education,https://www.glassdoor.com/partner/jobListing.htm?pos=622&ao=1136043&s=58&guid=000001868b56dfab9d1a5eb8787c363c&src=GD_JOB_AD&t=SR&vt=w&cs=1_2e84ae10&cb=1677374972227&jobListingId=1006517545608&jrtk=3-0-1gq5ldnvgii2u801-1gq5ldo03is2h800-7ecd4062ff461441-,MD,72.5,no prefix,other title
1965,Otsuka Pharmaceutical Co.,4.1,Senior Manager Statistical Programming,MD,$97K - $131K (Glassdoor est.),"Princeton, NJ",1989.0,Biotech & Pharmaceuticals,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=2007&ao=1110586&s=58&guid=000001868bcae01c9cec8446a2b44507&src=GD_JOB_AD&t=SR&vt=w&cs=1_f93ba814&cb=1677382574458&jobListingId=1008486609349&cpc=90C4CD7F4113B630&jrtk=3-0-1gq5slo2s2ff7001-1gq5slo3hirmp800-7c97c2b8490907ff--6NYlbfkN0DV4OzDSN6W6VQ8enVPkSjbdnuosbeF5NM69Es9VMjvb-OFih_CmtUmTidIj7wvfwPj5i_WXwuqjoocjOtV_RUcmiYFgWwb0phG-1eYCRNVhulGmCOWi7jjiN5m6mISRGS_9SsJjibyceUtahUQx67d429vlBCytSps3cgZDzVYXtb5aMlW096Yi_-5XqX4xdIqj-Ujz7qmfzBc29F9rLeAqPvMaVatnpF_kkwkQohpxWokjHZvc_TISiCgFvv45qCXHoEj-ELrt34a0w4d2YNav1qL9gDUcFTL3DkSvSYgH0ALIDfBxiBbY7moZqNWSw0K_un9UEDDy_geVtI2zZ6Sg4dusI53SRGRwstv2qI9uuy3NUKBc2IKiLW1mwiFSzvuMeZ4kRpHWu-ByI1o5J9MHdeGq0c7sC1Xm7PnqwgePZqi0WTLVD17OX0pt1xTm_dHXOM_vMWkTGFlIhnixxssXYbghBuI6zwJzpj-IMndt5dWiopka5Fuhz--78aqN9JhHBP_DowTOTW17jYPA7l3b-R8-aGKC9ZnCbiVBcyRBIYxrsuIPePOwKJ5peR9pyhI_8ez65nAOPUa-xgaEN2qIqLDEZx6KO08eMtooWRnpnkIO0-2DFS5eLY-0vKXRx1TTtRpyUITSA%3D%3D,MD,114.0,senior,other title
1966,Sappi,3.7,Digital Data Scientist,ME,$69K - $98K (Glassdoor est.),"Johannesburg, South Africa",1936.0,Machinery Manufacturing,$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001868bd38bc685355b83d21f41cc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9bd6d0f1&cb=1677383142688&jobListingId=1008205180043&cpc=1D891ED3EFC3904E&jrtk=3-0-1gq5t72vnirkt801-1gq5t730bgsrf800-79815f192ec34e67--6NYlbfkN0AHGj1yOKh20sCQZoBrTSr8KNxTKZcSYXJwmMSmrCzldRUxQWO4MpwNpfXOSNjayCoJAnfWhD0aUHX4GW7d19haEcvvbUPpOo95eFy6qQ1m8qQfhO0z5a8GJ67oLYa02VeM1XfoR9dsW-iSdmOlt7U1qmjd8pw3ZmiPMJS_vjsWMwMi6XlI_P5v5wYwpbRiudRkPeF2sorqleAR2bd-Ic_B6ZcbKu1X-9IVRZ5xPrPL3z8GKK68OmkkCw1PypcyJHpkxT3ficuHpU09Hc9Lv-x8og8ep91f4VbeqKf0O1VxbalHPfjz35-GvfBoitXC9iabLRZ05rXuATS9jKkpptby9ZlYoyaQPHyNPNWfCMKcocEYkWvqWvOv3I7HMUrganFaUUuP1saavQIWqeH3P_n56Ff1jeIOXHJMGOoLc0RbOzJ-_6JbGKULQE2-Ta262rHbZyii_ZdUV0rby_lPX3uG5RiASfUw285jaHUx7FVOL1WW9iAzgNFNFCrugo1dRVGVRgUs0j7D0XKbnweK4z-fvhUOn4f9KupyLGyVbif8REP3XWhw1GE9ADpwT3B1EM8cLLwpqRYlmfTDY3olZa9ePZpBbdTjFX0%3D,ME,83.5,no prefix,data_science
1967,Northeastern University,4.2,"Postdoctoral Research Fellow, Observational Health Data Science and Informatics",ME,$49K - $82K (Glassdoor est.),"Boston, MA",1898.0,Colleges & Universities,$100 to $500 million (USD),1001 to 5000 Employees,College / University,Education,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=000001868bd38bc685355b83d21f41cc&src=GD_JOB_AD&t=SR&vt=w&cs=1_abdf1783&cb=1677383142689&jobListingId=1008162979826&jrtk=3-0-1gq5t72vnirkt801-1gq5t730bgsrf800-32f7c6a351b1e17f-,ME,65.5,no prefix,data_science
1968,Tyler Technologies,4.0,HR Data Scientist,ME,$82K - $119K (Glassdoor est.),"Plano, TX",1966.0,Software Development,$500 million to $1 billion (USD),5001 to 10000 Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=000001868bd38bc685355b83d21f41cc&src=GD_JOB_AD&t=SR&vt=w&cs=1_3f8329cc&cb=1677383142690&jobListingId=1008477404692&jrtk=3-0-1gq5t72vnirkt801-1gq5t730bgsrf800-79c9c3519a963392-,ME,100.5,no prefix,data_science
1969,Unum,3.7,"Principal Data Scientist, Unum Decision Technologies",ME,$115K - $166K (Glassdoor est.),"Chattanooga, TN",1848.0,Insurance Carriers,$10+ billion (USD),5001 to 10000 Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001868bd38bc685355b83d21f41cc&src=GD_JOB_AD&t=SR&vt=w&cs=1_755e9be8&cb=1677383142688&jobListingId=1008392220580&cpc=AA718BBA0476CE1A&jrtk=3-0-1gq5t72vnirkt801-1gq5t730bgsrf800-5696c5a4e844cff1--6NYlbfkN0AV9isdB2iNFq7MNITge-w_AXqD4hA-KRfbVtwUipZE1ZWY5PljmcgHbqeUxv3vkM8xVqPRraa054D7BsTXBcr9Q7CafgwAAB5BIfUK0Apdp6WYRfBBuZMZbYCKRsIVSGROvmhvomFW6JVzsr7_bIJtb-GhObh-p-z_TyUVAP-1NRuVzKMkYGUkwL1pbxAEstcalC6mKdtC4TkAc7CdZ-W5OqLc-CHY9W85ZGXsIhpyDDDyYF_yZZJA80TjJyH6YmjfHrTAOAFOwI_b3s9eN9sm8pS6hLZLzCAj7NhFS_HDh1FG2P_9rxTqUuCfBhSYuLpwEMVDGxGCF3K6CPWQOUBrG6PJQ4MNWhtbEjX20mDEp-X_ecL8YBiP9nbUrCZVMCO9PdSonxJ-66upbBI36GKmKswWxjDjhkfT7JTxu9-3nyIzhizQsRA8ZOvL6npWSACk3q-zRbb9qRr43jfE485tN-b0KtqiqPmAApNANiJwwgeW_vaoR5vADlbl1JQLSPHlBUH4vTVS_4CvzW3ro2RsKJHJXdjlcwIr38M83g9peZ98Fnf2gN0Y0gmZPqfswECxx67pkMkaenO0MlxmEeOMqcU78numwb9Nvw698zu_AWbGMwAkOBCyCm-UXrw3fQia3BVlYOzx7HhvSj36Tnf2p46KRFecLXJGLtjEJuC2SUeOMstwBIF2AWm_UKOjKG4%3D,ME,140.5,senior,data_science
1970,Northeastern University,4.2,"Research Scientist/Engineer, Interdisciplinary Engineering and Data Science",ME,$72K - $105K (Glassdoor est.),"Boston, MA",1898.0,Colleges & Universities,$100 to $500 million (USD),1001 to 5000 Employees,College / University,Education,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=000001868bd38bc685355b83d21f41cc&src=GD_JOB_AD&t=SR&vt=w&cs=1_4b8b564e&cb=1677383142690&jobListingId=1007804721490&jrtk=3-0-1gq5t72vnirkt801-1gq5t730bgsrf800-e0ac4d1f58ec04ea-,ME,88.5,no prefix,research_scientist
1971,Northeastern University,4.2,Research Scientist - Data Visualization & Visual Analytics,ME,$73K - $113K (Glassdoor est.),"Boston, MA",1898.0,Colleges & Universities,$100 to $500 million (USD),1001 to 5000 Employees,College / University,Education,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=000001868bd38bc685355b83d21f41cc&src=GD_JOB_AD&t=SR&vt=w&cs=1_cb0d453d&cb=1677383142690&jobListingId=1007829641385&jrtk=3-0-1gq5t72vnirkt801-1gq5t730bgsrf800-6f5d01b786162d16-,ME,93.0,no prefix,research_scientist
